"Product Name","Link",
"Dyson Pure Cool Link Tower WiFi-Enabled Air Purifier, TP03 (White/Silver)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_kitchen_sr_pg8_1?ie=UTF8&adId=A07284451126A8YLN6781&url=%2FDyson-Tower-WiFi-Enabled-Purifier-Silver%2Fdp%2FB078RBFG6G%2Fref%3Dsr_1_113_sspa%3Fdchild%3D1%26qid%3D1592555409%26s%3Dkitchen%26sr%3D1-113-spons%26psc%3D1&qualifier=1592555409&id=5516879478629490&widgetName=sp_atf_browse"
"Philips AC2887/20 High Efficiency Air purifier, removes 99.97% airborne pollutants with numerical 2.5 display, ideal for master bedroom","/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_kitchen_sr_pg8_2?ie=UTF8&adId=A0830653G8MW9PCTYWJF&url=%2FPhilips-AeraSense-AC2887-20-Purifier%2Fdp%2FB01KCSGBU2%2Fref%3Dsr_1_124_sspa%3Fdchild%3D1%26qid%3D1592555409%26s%3Dkitchen%26sr%3D1-124-spons%26psc%3D1&qualifier=1592555409&id=5516879478629490&widgetName=sp_mtf_browse"
"AllExtreme AE-X02 Portable Mini Travel USB Car Air Purifier Negative Ions Ionizer Air-Freshener with HEPA Filter to Remove Odor Smell Bacteria and Allergen (4.2W)","/AllExtreme-Portable-Purifier-Negative-Freshener/dp/B07BJ7XLDT/ref=sr_1_125?dchild=1&qid=1592555409&s=kitchen&sr=1-125"
"Honeywell Air Touch I11 Room Air Purifier with HEPA Filter, 44 Sq. m (White)","/Honeywell-HAC37M1601W-45-Watt-Room-Purifier/dp/B07KHQLLFT/ref=sr_1_126?dchild=1&qid=1592555409&s=kitchen&sr=1-126"
"6 Stage Air Purifier for Offices and Room, Table Top/Wall Mounted","/Stage-Purifier-Offices-Table-Mounted/dp/B06XCTXDG9/ref=sr_1_127?dchild=1&qid=1592555409&s=kitchen&sr=1-127"
"Blueoxy Natural Air Purifying – Deodorizer/Naturally Activated Bamboo Air Purifying Bag- Unscented – 200 g – Colour Grey – (Pack of ONE)","/Blueoxy-Natural-Air-Purifying-Deodorizer/dp/B076TFJR27/ref=sr_1_128?dchild=1&qid=1592555409&s=kitchen&sr=1-128"
"KUMAKA Health Care Ozonizer Fruit and Vegetable Cleaner Air Purifier Machine Remover Pesticide Toxin","/KUMAKA-Ozonizer-Vegetable-Purifier-Pesticide/dp/B082FHSH35/ref=sr_1_129?dchild=1&qid=1592555409&s=kitchen&sr=1-129"
"Airspa With Device Tms 16 Hepa Air Purifier with Unique 7 Stage Filtration + Remote Control","/Airspa-16-%E0%A4%AA%E0%A5%8D%E0%A4%AF%E0%A5%82%E0%A4%B0%E0%A5%80%E0%A4%AB%E0%A4%BE%E0%A4%AF%E0%A4%B0-%E0%A4%AB%E0%A4%BF%E0%A4%B2%E0%A5%8D%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A5%87%E0%A4%B6%E0%A4%A8-%E0%A4%95%E0%A4%82%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A5%8B%E0%A4%B2/dp/B01MG02R24/ref=sr_1_130?dchild=1&qid=1592555409&s=kitchen&sr=1-130"
"UNIQUE BUYER Mini Portable Wood Cool Aroma Diffuser Air Purifier Mist Humidifier Essential Oil Diffuser with Color LED Lights Changing for Baby Office Home Bedroom Living Room Study Yoga Spa","/UNIQUE-BUYER-Portable-Humidifier-Essential/dp/B07PMR4Q6T/ref=sr_1_131?dchild=1&qid=1592555409&s=kitchen&sr=1-131"
"Prana Air Compatible HEPA Filter For Xiaomi Mi Air Purifier | PM2.5, Bacteria & Allergens","/Prana-Air-Compatible-Purifier-Allergens/dp/B084JLVF1B/ref=sr_1_132?dchild=1&qid=1592555409&s=kitchen&sr=1-132"
"Philips AC3256/20, removes 99.97% airborne pollutants with numerical PM2.5 display, ideal for living room","/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_browse_kitchen_sr_pg8_1?ie=UTF8&adId=A05361781VQABX3ZCFCM6&url=%2FPhilips-AC3256-20-AeraSense-Purifier%2Fdp%2FB01DDMHHQG%2Fref%3Dsr_1_133_sspa%3Fdchild%3D1%26qid%3D1592555409%26s%3Dkitchen%26sr%3D1-133-spons%26psc%3D1&qualifier=1592555409&id=5516879478629490&widgetName=sp_btf_browse"
"TruSens Z-3000 Air Purifier | Remote SensorPod | 360 HEPA Filtration with Dupont Filter | UV Light Sterilization Kills Bacteria Germs Odor Allergens in Home | Dual Airflow for Full Coverage (Large)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_browse_kitchen_sr_pg8_2?ie=UTF8&adId=A10270163VKRZ9Z7VD3QO&url=%2FTruSens-SensorPod-Filtration-Sterilization-Allergens%2Fdp%2FB07W3NJ8X8%2Fref%3Dsr_1_134_sspa%3Fdchild%3D1%26qid%3D1592555409%26s%3Dkitchen%26sr%3D1-134-spons%26psc%3D1&qualifier=1592555409&id=5516879478629490&widgetName=sp_btf_browse"
